file,status,round,proved,total,elapsed_sec,tokens,error
21176_BL.EN.U4CSE21176_1,pass,1,5,5,0.971,6000,
21176_BL.EN.U4CSE21176_14,pass,1,7,7,1.2,2000,
21176_BL.EN.U4CSE21176_2,pass,1,4,4,0.862,3000,
21176_BL.EN.U4CSE21176_22,pass,1,17,17,1.991,8500,
21176_BL.EN.U4CSE21176_3,pass,1,5,5,1.075,1500,
21176_BL.EN.U4CSE21176_4,pass,1,5,5,0.92,800,
21176_BL.EN.U4CSE21176_4a,pass,1,4,4,0.896,1500,
21176_BL.EN.U4CSE21176_8,pass,3,9,9,39.163,3500,
21176_LogicFunction,fail,1,11,12,18.714,6500,Pre-condition a <= 0 not satisfiable in main (a=3 > 0), asserting fmin<=fmax requires a<=0 for linear function a*x+4
21176_LogicFunction2,fail,2,11,12,34.066,4000,main calls check(3,4,7) with a=3>0, violating requires a<=0; assertion fmin<=fmax only provable when a<=0
MarcoGrillo_Minimum-Period-of-a-String_period,pass,1,37,37,3.208,20000,
Tasmina0609_1,pass,1,6,6,1.728,8000,
X509-parser_bufs_differ,pass,3,21,21,20.8,15000,
X509-parser_check_ia5_string,pass,1,17,17,2.049,5000,
X509-parser_parse_null,pass,1,31,31,2.896,10000,
X509-parser_time_components_to_comparable_u64,pass,1,30,30,3.417,2000,
X509-parser_verify_correct_time_use,pass,3,19,19,36.364,15000,
accumulate,pass,1,13,13,17.293,10000,
adjacent_difference,pass,3,23,23,132,15000,
adjacent_find,pass,2,12,12,75,5000,
arepina_abs_impletentation,pass,1,5,5,0.913,3000,
arepina_average,pass,1,8,8,1.3,8000,
arepina_distance,pass,1,3,3,1.134,3000,
arepina_distance_abs,fail,1,14,15,17.043,4000,
arepina_factorial,pass,1,11,11,1.767,5000,
arepina_lower_bound,pass,1,14,14,2.13,2000,
arepina_lower_bound_raw,pass,1,8,8,1.567,4500,
arepina_reverse,pass,1,11,11,2.134,5000,
arepina_sign,pass,1,6,6,4.5,6000,
array_double,pass,1,16,16,2.168,8000,
arrays_and_loops_1,pass,0,3,3,1.172,4000,
arrays_and_loops_2,pass,1,10,10,1.577,8000,
arrays_and_loops_3,pass,1,9,9,1.204,2500,
arrays_and_loops_4,pass,1,11,11,1.407,3500,
arrays_and_loops_5,pass,2,20,20,18.5,8000,
axiom_pop_of_push,pass,3,6,6,69,12000,
axiom_push_of_pop_top,pass,1,16,16,1.952,2000,
axiom_size_of_init,pass,1,16,16,1.835,5000,
axiom_size_of_pop,pass,3,6,6,55,10000,
axiom_size_of_push,pass,2,11,11,18.515,8500,
axiom_top_of_push,pass,1,12,12,1.549,5000,
code2_1,pass,1,10,10,1.445,3500,
code2_100,pass,1,8,8,0.985,3000,
code2_102,pass,1,6,6,0.922,1800,
code2_103,pass,1,6,6,0.913,500,
code2_105,pass,1,6,6,0.909,2000,
code2_107,pass,1,8,8,1.0,5000,
code2_108,pass,1,8,8,1.048,3000,
code2_109,pass,1,8,8,1.313,2500,
code2_11,pass,1,5,5,1.245,5000,
code2_110,pass,1,8,8,0.98,5000,
code2_111,pass,1,8,8,1.062,6000,
code2_112,pass,1,8,8,1.044,4200,
code2_113,pass,1,8,8,1.015,2000,
code2_114,pass,1,5,5,0.961,2000,
code2_115,pass,1,5,5,0.946,1500,
code2_117,pass,1,5,5,0.923,890,
code2_118,pass,1,8,8,1.025,4500,
code2_119,pass,1,8,8,1.014,1872,
code2_12,pass,1,5,5,17.83,2500,
code2_120,pass,1,8,8,0.979,2000,
code2_121,pass,1,8,8,0.988,3000,
code2_122,pass,1,8,8,1.047,1800,
code2_123,pass,1,8,8,0.999,2000,
code2_124,pass,1,8,8,1.355,2000,
code2_125,pass,3,9,9,30,15000,
code2_126,pass,3,8,8,34.069,5000,
code2_127,pass,1,9,9,1.334,4500,
code2_128,pass,1,6,6,0.945,3000,
code2_129,pass,1,6,6,0.896,3500,
